file_name,pretty_name,brand_guess,consumable_type,hazard_tags,group_key_strict,group_key_loose,sha256,file_size_bytes,primary_area,process_tags,unit_type,on_hand_qty,reorder_point,storage_location,notes,amazon_search_url,amazon_url,amazon_asin,r2_object_key,exact_duplicate_count,is_exact_duplicate,possible_same_item_count_strict,possible_same_item_count_loose
"100 Sheets DTF Transfer Film Paper A3 Double Sided Thick Clear Pretreat Sheets, PET Heat Transfer Paper for Epson Inkjet Printer DTG Printer Direct Print On T Shirts Textile.jpg","100 Sheets DTF Transfer Film Paper A3 Double Sided Thick Clear Pretreat Sheets, PET Heat Transfer Paper for Epson Inkjet Printer DTG Printer Direct Print On T Shirts Textile",100,paint/ink/powder,chemical,100 sheets dtf,100 sheets,f48e40e4990041405397dc20676692c9ffc0b473d5bd975fb8d358a4ceee7152,67070,,,,,,,,"https://www.amazon.ca/s?k=100+Sheets+DTF+Transfer+Film+Paper+A3+Double+Sided+Thick+Clear+Pretreat+Sheets,+PET+Heat+Transfer+Paper+for+Epson+Inkjet+Printer+DTG+Printer+Direct+Print+On+T+Shirts+Textile",,,"Supplies/100 Sheets DTF Transfer Film Paper A3 Double Sided Thick Clear Pretreat Sheets, PET Heat Transfer Paper for Epson Inkjet Printer DTG Printer Direct Print On T Shirts Textile.jpg",1,False,1,1
1000Sheets20ColorsGoldLeafSheets.jpg,1000Sheets20Colors Gold Leaf Sheets,1000Sheets20Colors,misc,,1000sheets20colors sheets colors,1000sheets20colors sheets,9c1a095b807cfd5c14c3b5d41e2fd97e140979486823a479214492ffa0f85335,44258,,,,,,,,https://www.amazon.ca/s?k=1000Sheets20Colors+Gold+Leaf+Sheets,,,Supplies/1000Sheets20ColorsGoldLeafSheets.jpg,1,False,1,1
100g35ozHighPurity9995TinGranules.jpg,100g35oz High Purity9995Tin Granules,100g35oz,misc,,100g35oz high purity,100g35oz high,a860db020e863d5b4e940b35e8037e2169dec703295010378eced66d6c6d4fdb,66273,,,,,,,,https://www.amazon.ca/s?k=100g35oz+High+Purity9995Tin+Granules,,,Supplies/100g35ozHighPurity9995TinGranules.jpg,1,False,1,1
100PackAssortedWoodWoodenButtons.jpg,100Pack Assorted Wood Wooden Buttons,100Pack,misc,,100pack assorted wood,100pack assorted,eca3286fab6519c9eb7e9df142d54daa8d8ca36258908aef9c01744f544aebaa,55344,,,,,,,,https://www.amazon.ca/s?k=100Pack+Assorted+Wood+Wooden+Buttons,,,Supplies/100PackAssortedWoodWoodenButtons.jpg,1,False,1,1
100PackDustyRoseBlankCanCoolerSleeves.jpg,100Pack Dusty Rose Blank Can Cooler Sleeves,100Pack,adhesive,,100pack dusty rose,100pack dusty,2090aac0bbc4eab7d3a0aeb659fbbbdbf42ed2bbc5303ba0cbf09c43bd70aeba,39093,,,,,,,,https://www.amazon.ca/s?k=100Pack+Dusty+Rose+Blank+Can+Cooler+Sleeves,,,Supplies/100PackDustyRoseBlankCanCoolerSleeves.jpg,1,False,1,1
100pcsVintageUpholsteryNails.jpg,100pcs Vintage Upholstery Nails,100pcs,misc,,100pcs vintage upholstery,100pcs vintage,f984b78ea9eae869fcc8312e8130efe43d39edb6500d8b93f41ca91331f9092c,64501,,,,,,,,https://www.amazon.ca/s?k=100pcs+Vintage+Upholstery+Nails,,,Supplies/100pcsVintageUpholsteryNails.jpg,1,False,1,1
102PCSDriedFlowersforResinMolds.jpg,102PCSDried Flowersfor Resin Molds,102PCSDried,resin,chemical,102pcsdried pcsdried flowersfor,102pcsdried pcsdried,002bd1a7bdb71bdb76ff4465519d07d562744d250ba09540b709e33e8d149307,125558,,,,,,,,https://www.amazon.ca/s?k=102PCSDried+Flowersfor+Resin+Molds,,,Supplies/102PCSDriedFlowersforResinMolds.jpg,1,False,1,1
"10Pcs Turning Inserts,Carbide Insert Blade,CNC Coated Lathe Turning Tool with Wrench,Lathe Milling Inserts with Box DCMT070204 US735 DCMT21.51.jpg","10Pcs Turning Inserts,Carbide Insert Blade,CNC Coated Lathe Turning Tool with Wrench,Lathe Milling Inserts with Box DCMT070204 US735 DCMT21.51",10Pcs,blade/cutting,sharp,10pcs turning inserts,10pcs turning,263f60c377c6c6edd57414a70acf204d5b529585b63ee6098337df49bdb7eb89,36365,,,,,,,,"https://www.amazon.ca/s?k=10Pcs+Turning+Inserts,Carbide+Insert+Blade,CNC+Coated+Lathe+Turning+Tool+with+Wrench,Lathe+Milling+Inserts+with+Box+DCMT070204+US735+DCMT21.51",,,"Supplies/10Pcs Turning Inserts,Carbide Insert Blade,CNC Coated Lathe Turning Tool with Wrench,Lathe Milling Inserts with Box DCMT070204 US735 DCMT21.51.jpg",1,False,1,1
10pcs6pinRGBWWLEDStripConnectorforNon-WaterproofStriptoWireQuickConnection.jpg,10pcs6pin RGBWWLEDStrip Connectorfor Non Waterproof Stripto Wire Quick Connection,10pcs6pin,misc,,10pcs6pin pin rgbwwledstrip,10pcs6pin pin,0fdc747bef4155942d1d063c15acec4ba48a67f8d106d250113d5e7bcc2113af,63846,,,,,,,,https://www.amazon.ca/s?k=10pcs6pin+RGBWWLEDStrip+Connectorfor+Non+Waterproof+Stripto+Wire+Quick+Connection,,,Supplies/10pcs6pinRGBWWLEDStripConnectorforNon-WaterproofStriptoWireQuickConnection.jpg,1,False,1,1
10x12 Inch Silicone Heat Press Mat Pad 0.3 Inch Thickest Sublimation Silicone Mat for Heat Press Machine Flat Heat Transfer Press Replacement Pad.jpg,10x12 Inch Silicone Heat Press Mat Pad 0.3 Inch Thickest Sublimation Silicone Mat for Heat Press Machine Flat Heat Transfer Press Replacement Pad,10x12,resin,,10x12 x silicone,10x12 x,4a1e6da9ba6b9f3b9dee7304d749984a4e96ab25a8d3210b2fb37257f6b22000,27438,,,,,,,,https://www.amazon.ca/s?k=10x12+Inch+Silicone+Heat+Press+Mat+Pad+0.3+Inch+Thickest+Sublimation+Silicone+Mat+for+Heat+Press+Machine+Flat+Heat+Transfer+Press+Replacement+Pad,,,Supplies/10x12 Inch Silicone Heat Press Mat Pad 0.3 Inch Thickest Sublimation Silicone Mat for Heat Press Machine Flat Heat Transfer Press Replacement Pad.jpg,1,False,1,1
